date_day,tot
2020-01-01,156
2020-01-02,339
2020-01-03,292
2020-01-04,302
2020-01-05,438
2020-01-06,300
2020-01-07,461
2020-01-08,288
2020-01-09,287
2020-01-10,250
2020-01-11,316
2020-01-12,360
2020-01-13,385
2020-01-14,477
2020-01-15,334
2020-01-16,238
2020-01-17,268
2020-01-18,251
2020-01-19,386
2020-01-20,415
2020-01-21,440
2020-01-22,348
2020-01-23,293
2020-01-24,271
2020-01-25,423
2020-01-26,508
2020-01-27,318
2020-01-28,412
2020-01-29,360
2020-01-30,273
2020-01-31,278
2020-02-01,367
2020-02-02,311
2020-02-03,354
2020-02-04,330
2020-02-05,371
2020-02-06,167
2020-02-07,317
2020-02-08,233
2020-02-09,399
2020-02-10,313
2020-02-11,315
2020-02-12,234
2020-02-13,261
2020-02-14,324
2020-02-15,273
2020-02-16,397
2020-02-17,357
2020-02-18,361
2020-02-19,356
2020-02-20,217
2020-02-21,216
2020-02-22,323
2020-02-23,354
2020-02-24,370
2020-02-25,222
2020-02-26,197
2020-02-27,213
2020-02-28,295
2020-02-29,304
2020-03-01,329
2020-03-02,286
2020-03-03,239
2020-03-04,282
2020-03-05,280
2020-03-06,214
2020-03-07,379
2020-03-08,286
2020-03-09,242
2020-03-10,351
2020-03-11,261
2020-03-12,216
2020-03-13,201
2020-03-14,308
2020-03-15,385
2020-03-16,386
2020-03-17,396
2020-03-18,278
2020-03-19,211
2020-03-20,294
2020-03-21,285
2020-03-22,202
2020-03-23,423
2020-03-24,236
2020-03-25,474
2020-03-26,324
2020-03-27,246
2020-03-28,433
2020-03-29,328
2020-03-30,379
2020-03-31,290
2020-04-01,416
2020-04-02,224
2020-04-03,324
2020-04-04,439
2020-04-05,348
2020-04-06,520
2020-04-07,394
2020-04-08,265
2020-04-09,274
2020-04-10,408
2020-04-11,239
2020-04-12,422
2020-04-13,469
2020-04-14,303
2020-04-15,372
2020-04-16,362
2020-04-17,415
2020-04-18,471
2020-04-19,371
2020-04-20,419
2020-04-21,218
2020-04-22,360
2020-04-23,331
2020-04-24,341
2020-04-25,411
2020-04-26,427
2020-04-27,442
2020-04-28,339
2020-04-29,402
2020-04-30,365
2020-05-01,306
2020-05-02,398
2020-05-03,378
2020-05-04,458
2020-05-05,480
2020-05-06,409
2020-05-07,309
2020-05-08,343
2020-05-09,335
2020-05-10,332
2020-05-11,369
2020-05-12,421
2020-05-13,393
2020-05-14,274
2020-05-15,332
2020-05-16,508
2020-05-17,353
2020-05-18,413
2020-05-19,402
2020-05-20,498
2020-05-21,341
2020-05-22,274
2020-05-23,367
2020-05-24,409
2020-05-25,443
2020-05-26,420
2020-05-27,471
2020-05-28,288
2020-05-29,365
2020-05-30,368
2020-05-31,312
2020-06-01,337
2020-06-02,361
2020-06-03,302
2020-06-04,317
2020-06-05,364
2020-06-06,166
2020-06-07,342
2020-06-08,361
2020-06-09,290
2020-06-10,466
2020-06-11,238
2020-06-12,260
2020-06-13,362
2020-06-14,398
2020-06-15,409
2020-06-16,347
2020-06-17,320
2020-06-18,335
2020-06-19,362
2020-06-20,422
2020-06-21,376
2020-06-22,325
2020-06-23,376
2020-06-24,297
2020-06-25,251
2020-06-26,348
2020-06-27,359
2020-06-28,343
2020-06-29,434
2020-06-30,433
2020-07-01,343
2020-07-02,199
2020-07-03,314
2020-07-04,323
2020-07-05,472
2020-07-06,279
2020-07-07,391
2020-07-08,399
2020-07-09,338
2020-07-10,324
2020-07-11,406
2020-07-12,296
2020-07-13,404
2020-07-14,248
2020-07-15,396
2020-07-16,300
2020-07-17,308
2020-07-18,369
2020-07-19,397
2020-07-20,275
2020-07-21,287
2020-07-22,230
2020-07-23,313
2020-07-24,224
2020-07-25,341
2020-07-26,459
2020-07-27,397
2020-07-28,330
2020-07-29,419
2020-07-30,268
2020-07-31,314
2020-08-01,432
2020-08-02,475
2020-08-03,450
2020-08-04,400
2020-08-05,316
2020-08-06,231
2020-08-07,344
2020-08-08,323
2020-08-09,459
2020-08-10,390
2020-08-11,338
2020-08-12,414
2020-08-13,324
2020-08-14,402
2020-08-15,345
2020-08-16,412
2020-08-17,506
2020-08-18,315
2020-08-19,358
2020-08-20,310
2020-08-21,326
2020-08-22,376
2020-08-23,401
2020-08-24,425
2020-08-25,334
2020-08-26,372
2020-08-27,349
2020-08-28,361
2020-08-29,291
2020-08-30,384
2020-08-31,366
2020-09-01,375
2020-09-02,382
2020-09-03,241
2020-09-04,293
2020-09-05,515
2020-09-06,260
2020-09-07,446
2020-09-08,407
2020-09-09,281
2020-09-10,266
2020-09-11,281
2020-09-12,376
2020-09-13,378
2020-09-14,339
2020-09-15,367
2020-09-16,340
2020-09-17,213
2020-09-18,315
2020-09-19,293
2020-09-20,384
2020-09-21,496
2020-09-22,326
2020-09-23,377
2020-09-24,295
2020-09-25,365
2020-09-26,315
2020-09-27,309
2020-09-28,417
2020-09-29,386
2020-09-30,386
2020-10-01,281
2020-10-02,346
2020-10-03,311
2020-10-04,452
2020-10-05,356
2020-10-06,236
2020-10-07,266
2020-10-08,235
2020-10-09,290
2020-10-10,303
2020-10-11,332
2020-10-12,406
2020-10-13,300
2020-10-14,298
2020-10-15,258
2020-10-16,224
2020-10-17,333
2020-10-18,370
2020-10-19,589
2020-10-20,397
2020-10-21,410
2020-10-22,306
2020-10-23,331
2020-10-24,256
2020-10-25,380
2020-10-26,376
2020-10-27,215
2020-10-28,304
2020-10-29,261
2020-10-30,489
2020-10-31,348
2020-11-01,379
2020-11-02,362
2020-11-03,368
2020-11-04,272
2020-11-05,308
2020-11-06,217
2020-11-07,308
2020-11-08,348
2020-11-09,336
2020-11-10,355
2020-11-11,337
2020-11-12,215
2020-11-13,265
2020-11-14,294
2020-11-15,277
2020-11-16,358
2020-11-17,318
2020-11-18,314
2020-11-19,361
2020-11-20,318
2020-11-21,450
2020-11-22,320
2020-11-23,422
2020-11-24,357
2020-11-25,426
2020-11-26,222
2020-11-27,240
2020-11-28,215
2020-11-29,366
2020-11-30,475
2020-12-01,358
2020-12-02,382
2020-12-03,230
2020-12-04,363
2020-12-05,336
2020-12-06,378
2020-12-07,576
2020-12-08,468
2020-12-09,259
2020-12-10,398
2020-12-11,252
2020-12-12,313
2020-12-13,399
2020-12-14,567
2020-12-15,521
2020-12-16,336
2020-12-17,342
2020-12-18,303
2020-12-19,305
2020-12-20,479
2020-12-21,494
2020-12-22,397
2020-12-23,346
2020-12-24,324
2020-12-25,415
2020-12-26,381
2020-12-27,428
2020-12-28,449
2020-12-29,318
2020-12-30,523
2020-12-31,266
2021-01-01,533
2021-01-02,452
2021-01-03,468
2021-01-04,396
2021-01-05,539
2021-01-06,290
2021-01-07,313
2021-01-08,351
2021-01-09,414
2021-01-10,453
2021-01-11,391
2021-01-12,240
2021-01-13,398
2021-01-14,306
2021-01-15,320
2021-01-16,449
2021-01-17,398
2021-01-18,459
2021-01-19,319
2021-01-20,332
2021-01-21,313
2021-01-22,206
2021-01-23,492
2021-01-24,359
2021-01-25,371
2021-01-26,406
2021-01-27,237
2021-01-28,275
2021-01-29,509
2021-01-30,454
2021-01-31,470
2021-02-01,541
2021-02-02,370
2021-02-03,347
2021-02-04,347
2021-02-05,354
2021-02-06,424
2021-02-07,394
2021-02-08,238
2021-02-09,320
2021-02-10,264
2021-02-11,544
2021-02-12,428
2021-02-13,331
2021-02-14,352
2021-02-15,512
2021-02-16,275
2021-02-17,422
2021-02-18,531
2021-02-19,508
2021-02-20,504
2021-02-21,425
2021-02-22,418
2021-02-23,498
2021-02-24,323
2021-02-25,334
2021-02-26,331
2021-02-27,462
2021-02-28,401
2021-03-01,345
2021-03-02,334
2021-03-03,422
2021-03-04,414
2021-03-05,404
2021-03-06,305
2021-03-07,345
2021-03-08,431
2021-03-09,224
2021-03-10,259
2021-03-11,276
2021-03-12,328
2021-03-13,475
2021-03-14,506
2021-03-15,431
2021-03-16,403
2021-03-17,233
2021-03-18,300
2021-03-19,421
2021-03-20,338
2021-03-21,471
2021-03-22,427
2021-03-23,543
2021-03-24,271
2021-03-25,388
2021-03-26,429
2021-03-27,383
2021-03-28,405
2021-03-29,340
2021-03-30,466
2021-03-31,239
2021-04-01,331
2021-04-02,451
2021-04-03,527
2021-04-04,217
2021-04-05,278
2021-04-06,427
2021-04-07,479
2021-04-08,521
2021-04-09,413
2021-04-10,396
2021-04-11,371
2021-04-12,406
2021-04-13,285
2021-04-14,413
2021-04-15,449
2021-04-16,580
2021-04-17,400
2021-04-18,383
2021-04-19,439
2021-04-20,407
2021-04-21,441
2021-04-22,398
2021-04-23,485
2021-04-24,381
2021-04-25,403
2021-04-26,539
2021-04-27,170
2021-04-28,307
2021-04-29,294
2021-04-30,300
2021-05-01,369
2021-05-02,314
2021-05-03,302
2021-05-04,341
2021-05-05,514
2021-05-06,304
2021-05-07,419
2021-05-08,410
2021-05-09,414
2021-05-10,466
2021-05-11,316
2021-05-12,482
2021-05-13,312
2021-05-14,410
2021-05-15,568
2021-05-16,294
2021-05-17,546
2021-05-18,309
2021-05-19,553
2021-05-20,378
2021-05-21,377
2021-05-22,412
2021-05-23,431
2021-05-24,341
2021-05-25,457
2021-05-26,452
2021-05-27,305
2021-05-28,313
2021-05-29,338
2021-05-30,440
2021-05-31,460
2021-06-01,462
2021-06-02,311
2021-06-03,451
2021-06-04,390
2021-06-05,435
2021-06-06,350
2021-06-07,479
2021-06-08,557
